ICAO,id,ident,type,name,Weight,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,municipality,Alaska Airlines,American Airlines,Allegiant Air,Frontier Airlines,JetBlue Airways,Delta Air Lines,United Airlines,SkyWest Airlines,Southwest Airlines,Hawaiian Airlines,airline_count
TVSA,322383,TVSA,medium_airport,Argyle International Airport,,13.156695,-61.149945,136,VC,VC-U-A,Kingstown,N,Y,N,N,N,N,N,N,N,N,1
TNCM,6406,TNCM,large_airport,Princess Juliana International Airport,,18.04100037,-63.10889816,13,SX,SX-U-A,Saint Martin,N,Y,N,N,Y,Y,Y,N,N,N,4
RKSI,5653,RKSI,large_airport,Incheon International Airport,,37.46910095,126.4509964,23,KR,KR-28,Seoul,N,Y,N,N,N,Y,Y,N,N,Y,4
LEMD,4019,LEMD,large_airport,Adolfo SuÃ¡rez Madridâ€“Barajas Airport,,40.471926,-3.56264,1998,ES,ES-M,Madrid,N,Y,N,N,N,Y,Y,N,N,N,3
TTPP,6410,TTPP,medium_airport,Piarco International Airport,,10.59539986,-61.33720016,58,TT,TT-TUP,Port of Spain,N,Y,N,N,Y,N,Y,N,N,N,3
TE17,24825,TE17,small_airport,Heathrow Airport,,31.43910027,-97.14689636,525,US,US-TX,Robinson,N,Y,N,N,N,N,N,N,N,N,1
EGCC,2398,EGCC,large_airport,Manchester Airport,,53.35369873,-2.274950027,257,GB,GB-ENG,Manchester,N,Y,N,N,N,Y,Y,N,N,N,3
EGPH,2462,EGPH,large_airport,Edinburgh Airport,,55.95000076,-3.372499943,135,GB,GB-SCT,Edinburgh,N,Y,N,N,N,Y,Y,N,N,N,3
KXNA,21410,KXNA,medium_airport,Northwest Arkansas Regional Airport,,36.281898,-94.306801,1287,US,US-AR,Fayetteville/Springdale/Rogers,N,Y,Y,Y,N,N,N,Y,N,N,4
KFAT,3524,KFAT,medium_airport,Fresno Yosemite International Airport,,36.77619934,-119.7180023,336,US,US-CA,Fresno,N,Y,Y,Y,N,N,Y,Y,N,N,5
KHDN,20038,KHDN,small_airport,Yampa Valley Airport,,40.48120117,-107.2180023,6606,US,US-CO,Hayden,N,Y,N,N,Y,Y,N,Y,Y,N,5
KMTJ,20565,KMTJ,medium_airport,Montrose Regional Airport,,38.50979996,-107.8939972,5759,US,US-CO,Montrose,N,Y,Y,N,N,Y,Y,Y,N,N,5
KEGE,3505,KEGE,medium_airport,Eagle County Regional Airport,,39.64260101,-106.9179993,6548,US,US-CO,Eagle,N,Y,N,N,N,N,Y,Y,N,N,3
KBDL,3396,KBDL,large_airport,Bradley International Airport,,41.93889999,-72.68319702,173,US,US-CT,Hartford,N,Y,N,Y,Y,Y,Y,Y,Y,N,7
KRSW,3858,KRSW,large_airport,Southwest Florida International Airport,,26.53619957,-81.75520325,30,US,US-FL,Fort Myers,N,Y,N,Y,Y,Y,Y,N,Y,N,6
KJAX,3620,KJAX,large_airport,Jacksonville International Airport,,30.49410057,-81.68789673,30,US,US-FL,Jacksonville,N,Y,Y,Y,Y,Y,Y,Y,Y,N,8
KSRQ,3899,KSRQ,large_airport,Sarasota Bradenton International Airport,,27.39539909,-82.55439758,30,US,US-FL,Sarasota/Bradenton,N,Y,Y,Y,Y,Y,Y,N,N,N,6
KPNS,3783,KPNS,medium_airport,Pensacola International Airport,,30.4734,-87.1866,121,US,US-FL,Pensacola,N,Y,N,Y,N,Y,Y,Y,Y,N,6
KCLT,3457,KCLT,large_airport,Charlotte Douglas International Airport,Hub,35.2140007,-80.94309998,748,US,US-NC,Charlotte,N,Y,N,Y,Y,Y,Y,Y,Y,N,7
KPBI,3766,KPBI,large_airport,Palm Beach International Airport,,26.68320084,-80.09559631,19,US,US-FL,West Palm Beach,N,Y,Y,Y,Y,Y,Y,N,Y,N,7
KDSM,3496,KDSM,large_airport,Des Moines International Airport,,41.5340004,-93.6631012,958,US,US-IA,Des Moines,N,Y,Y,Y,N,Y,Y,Y,Y,N,7
KBTR,3429,KBTR,medium_airport,Baton Rouge Metropolitan Airport,,30.533199,-91.149597,70,US,US-LA,Baton Rouge,N,Y,N,N,N,Y,N,Y,N,N,3
KPWM,3796,KPWM,large_airport,Portland International Jetport,,43.646198,-70.309303,76,US,US-ME,Portland,N,Y,N,Y,Y,Y,Y,Y,Y,N,7
KORH,3756,KORH,medium_airport,Worcester Regional Airport,,42.26729965,-71.8757019,1009,US,US-MA,Worcester,N,Y,N,N,Y,N,N,N,N,N,2
KMSO,3708,KMSO,medium_airport,Missoula International Airport,,46.91630173,-114.0910034,3206,US,US-MT,Missoula,N,Y,Y,Y,N,Y,Y,Y,N,N,6
